Keuwl Accelerometer Data File
2021-06-01 15-05-52

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
1.5176086,-0.583621,-0.535864,0.321912,0.304338,-1.792362,133.499176
1.5372925,-0.585421,-0.630422,0.543378,0.527346,-1.540196,147.488785
1.5570372,-0.621936,-0.467016,0.349439,0.332318,-1.709990,119.013779
1.5767517,-0.784152,-0.086935,0.031613,0.026158,-0.163950,74.013947
1.5964355,-0.808078,0.196772,-0.392764,-0.382320,1.265500,57.627350
1.6161498,-0.790728,0.393702,-0.768054,-0.741939,2.414008,49.128777
1.6358643,-0.713519,0.305109,-0.798572,-0.783453,1.707709,47.655487
1.6555480,-0.551303,0.165049,-0.515460,-0.516690,0.342896,40.911209
1.6752625,-0.575244,0.143503,-0.310153,-0.312476,0.200651,43.757813
1.6949767,-0.658450,0.105799,-0.255084,-0.256982,0.229472,52.230507
1.7146912,-0.620730,0.023798,0.008267,0.000632,-0.386564,53.780022
1.7344054,-0.532153,-0.278479,0.426068,0.407267,-2.054212,77.586456
1.7541504,-0.407656,-0.335928,0.499082,0.477798,-2.816955,70.678375
1.7738036,-0.567462,-0.245550,0.511060,0.493509,-1.803526,75.650528
1.7935485,-0.606967,-0.194677,0.444608,0.429077,-1.450301,72.270920
1.8132323,-0.496844,-0.401174,0.755261,0.734885,-2.483763,105.935608
1.8329468,-0.268191,-0.858480,1.219144,1.206410,-1.136424,204.080368
1.8526306,-0.052111,-1.099096,1.416654,1.418884,0.277608,219.091080
1.8723755,0.403394,-0.774679,0.860608,0.868896,0.828434,261.336548
1.8921202,0.079572,-0.290441,-0.350863,-0.363955,-0.999098,-54.824104
1.9118041,-0.703341,-0.438894,-0.793780,-0.807270,-0.996418,112.755188
1.9315186,-0.806292,-1.034445,0.166883,0.176635,1.081580,160.117340
1.9512024,-0.493243,-1.698233,1.339444,1.393171,3.175809,190.420486
1.9709473,-0.438784,-1.615042,1.305341,1.349280,2.742345,192.425430
1.9906616,-0.678805,-0.853689,0.095654,0.090388,-0.155873,158.941345
2.0103149,-1.157031,-0.499350,-0.912295,-0.893904,1.965303,114.485519
2.0300293,-1.393466,-0.684301,-1.026034,-0.977578,3.748856,122.670837
2.0497742,-1.103762,-1.124838,-0.394549,-0.356339,2.978846,150.531387
2.0694885,-1.015185,-1.343298,0.133969,0.180402,3.219154,161.451523
2.0891418,-1.137286,-1.178701,0.165692,0.207224,2.965780,151.417007
2.1088865,-1.173800,-0.836920,-0.420886,-0.393814,2.361536,134.810272
2.1286011,-1.067858,-0.660360,-0.960788,-0.947099,1.653346,126.794296
2.1482849,-0.964297,-0.635214,-1.189425,-1.183897,1.088831,127.531021
2.1680295,-0.793124,-0.710028,-1.048770,-1.052453,0.217579,140.466888
2.1877441,-0.668017,-0.815390,-0.279025,-0.285749,-0.242317,157.242554
2.2074280,-0.772769,-0.863272,0.497281,0.495536,0.105330,153.036362
2.2271729,-0.899066,-0.860281,0.495496,0.500013,0.622352,145.976364
2.2468262,-0.996035,-0.627432,0.107633,0.111529,0.652407,126.111252
2.2665710,-1.068454,-0.297628,-0.114429,-0.106402,1.019768,99.987411
2.2862549,-1.035525,-0.071371,-0.323932,-0.312467,1.321998,83.325638
2.3059690,-0.985263,0.164454,-0.802173,-0.780944,2.118284,67.905914
2.3256836,-0.996630,0.208155,-0.982928,-0.957021,2.472115,66.296326
2.3454285,-0.727282,0.007029,-0.544787,-0.548194,0.142862,63.247559
2.3650818,-0.480075,-0.344915,-0.006686,-0.027032,-2.436034,87.377838
2.3847961,-0.295718,-0.529272,-0.066546,-0.087766,-2.766684,206.597672
2.4045408,-0.369952,-0.410757,-0.222766,-0.244574,-3.141000,110.142807
2.4242554,-0.485461,-0.285055,-0.059970,-0.079637,-2.233991,72.654922
2.4439085,-0.049716,-0.396383,0.190228,0.171726,-1.971038,-68.881989
2.4636536,0.492582,-0.591528,0.200406,0.212441,1.234527,275.610168
2.4833679,0.759534,-0.681311,-0.074924,-0.034231,3.001483,274.130249
2.5030823,0.556623,-0.405966,0.075910,0.092099,1.544578,-71.424980
2.5227661,0.202878,-0.498144,0.526013,0.517285,-0.582031,278.573120
2.5425110,0.308225,-0.546636,0.614011,0.611433,0.011224,275.884644
2.5621948,0.427930,-0.623846,0.354230,0.361481,0.858057,272.206726
2.5819092,0.571576,-0.454458,-0.188647,-0.169950,1.777072,285.433655
2.6016235,0.705060,-0.149786,-0.528628,-0.491359,2.974261,-57.341339
2.6213379,0.803220,0.118967,-0.592074,-0.531746,4.145525,-46.312920
2.6410520,0.776883,0.293741,-0.656726,-0.587331,4.579397,-38.813923
2.6607666,0.408185,0.246454,-0.434649,-0.406130,2.451069,-29.362427
2.6804504,-0.180194,-0.125250,0.308148,0.291020,-1.707781,-6.722481
2.7001648,-0.338229,-0.532263,0.961759,0.940516,-2.811963,186.851059
2.7199097,0.016736,-0.722006,0.949201,0.936825,-1.061723,244.874741
2.7395935,0.302823,-0.690878,0.124982,0.126059,0.417702,263.783813
2.7592773,0.298047,-0.551412,-0.522647,-0.523458,0.382685,275.257874
2.7790527,0.644010,-0.511923,-0.052783,-0.027412,2.150916,282.237366
2.7986753,1.005521,-0.586126,0.643933,0.706242,3.768937,280.724487
2.8184509,1.261716,-0.670538,0.557141,0.657299,5.269216,278.945679
2.8381042,1.404157,-0.295233,0.132169,0.257979,6.335348,-67.834663
2.8578794,1.122251,0.074671,-0.268252,-0.170818,5.534639,-53.002609
2.8775632,0.833738,0.215921,-0.185061,-0.118874,4.242975,-43.038544
2.8972778,0.453672,0.109385,0.261456,0.281899,1.767448,-37.563721
2.9169617,0.304029,-0.122854,0.587674,0.587915,0.260637,-46.748890
2.9367065,0.089154,-0.353887,0.378766,0.364872,-1.199898,-63.823189
2.9563599,0.086759,-0.697470,-0.182071,-0.191437,-0.550597,252.567276
2.9760742,0.190900,-0.815985,-0.186847,-0.187055,0.368467,249.453812
2.9958189,0.600919,-0.867453,0.232129,0.262054,2.330622,261.737671
3.0155334,1.105497,-0.972799,0.189633,0.283449,5.194796,266.700439
3.0352173,1.008527,-0.721411,0.024426,0.095730,4.377803,275.075439
3.0549316,0.366285,-0.544836,-0.210803,-0.207822,0.645388,277.068542
3.0746460,-0.098193,-0.194082,-0.058764,-0.076008,-1.696448,-26.622978
3.0943298,-0.490252,-0.147985,0.455991,0.438857,-1.721633,52.540085
3.1140442,-0.769778,-0.244360,0.849225,0.838292,-0.874380,88.549744
3.1337891,-0.820651,-0.394583,0.974927,0.964891,-0.786420,106.747650
3.1534729,-0.662631,-0.492163,0.700788,0.684947,-1.523926,121.757904
3.1732178,-0.785342,-0.453863,0.318326,0.307447,-0.800405,113.801514
3.1928711,-0.679995,-0.519094,-0.061160,-0.075617,-1.231611,125.077515
3.2126462,-0.595599,-0.519689,-0.296985,-0.314127,-1.655032,129.770813
3.2323301,-0.623736,-0.267691,-0.290408,-0.306273,-1.428633,83.913864
3.2520447,-0.655444,-0.147985,-0.138965,-0.151368,-0.933093,71.051804
3.2717590,-0.563281,-0.182699,-0.084506,-0.100636,-1.495134,66.244064
3.2914734,-0.462115,-0.159964,-0.313739,-0.331284,-1.731115,49.270027
3.3111572,-0.421420,-0.129431,-0.653125,-0.670197,-1.606372,39.554230
3.3308713,-0.254412,-0.352697,-0.566928,-0.588547,-2.976808,-27.810905
3.3505857,-0.201144,-0.605886,-0.271853,-0.291142,-2.121218,227.998734
3.3703003,-0.192172,-0.659155,-0.126407,-0.144400,-1.838068,224.174515
3.3900146,-0.291522,-0.623846,-0.067142,-0.086727,-2.211899,204.109756
3.4097290,-0.433383,-0.512518,-0.062961,-0.083646,-2.548471,149.089813
3.4294431,-0.465121,-0.380224,0.151334,0.130559,-2.590999,97.655716
3.4491575,-0.399874,-0.473013,0.234525,0.213126,-2.866243,144.789230
3.4688413,-0.353778,-0.420339,0.041791,0.019905,-3.235281,123.947861
3.4885559,-0.383715,-0.374838,-0.088092,-0.109752,-3.018526,82.557556
3.5082703,-0.390887,-0.306005,-0.021060,-0.042186,-2.725663,55.437248
3.5279846,-0.307696,-0.311392,-0.015079,-0.036567,-2.908791,15.207558
3.5476685,-0.056292,-0.441885,0.058545,0.039963,-1.978705,281.078247
3.5673826,-0.003024,-0.470617,-0.085696,-0.102538,-1.619679,277.136108
3.5870969,0.098722,-0.507727,-0.277835,-0.290413,-0.938169,274.894043
3.6068115,0.053235,-0.505331,-0.174884,-0.189421,-1.230480,273.642334
3.6265259,-0.078448,-0.451467,0.110028,0.090916,-2.104481,278.117004
3.6462097,-0.137103,-0.405966,0.363812,0.343358,-2.490063,-70.636566
3.6659241,-0.105380,-0.410162,0.256665,0.236831,-2.299265,288.055115
3.6856382,-0.035342,-0.413153,0.141751,0.123650,-1.882509,287.518921
3.7053525,-0.115557,-0.319769,0.095059,0.075453,-2.227885,-47.315247
3.7250671,-0.246035,-0.270101,0.193830,0.173041,-2.597843,-7.396629
3.7447815,-0.193362,-0.293432,0.342862,0.322248,-2.542196,-27.639225
3.7644958,-0.065280,-0.335943,0.378781,0.360079,-2.028786,-55.199001
3.7842100,-0.020983,-0.308401,0.278211,0.260962,-1.727539,-52.621826
3.8039243,-0.073046,-0.277273,0.091474,0.073280,-1.897518,-42.869057
3.8236389,-0.064669,-0.258718,0.020841,0.003149,-1.789814,-40.453667
3.8433228,-0.031756,-0.361669,0.143537,0.125646,-1.839856,-62.075035
3.8630371,0.151395,-0.486181,0.235715,0.224762,-0.798507,278.941040
3.8827515,0.304624,-0.485571,0.140546,0.138010,0.097022,281.309021
3.9024656,0.241788,-0.316778,-0.110232,-0.115920,-0.163419,-62.188499
3.9221799,0.150800,-0.219808,-0.248507,-0.257375,-0.482966,-49.437660
3.9418638,0.144819,-0.227606,-0.120425,-0.129898,-0.572323,-50.014782
3.9615784,0.086148,-0.341925,0.177655,0.163877,-1.160677,-62.087784
3.9812927,0.108899,-0.471212,0.296765,0.283782,-1.065204,279.988953
4.0010071,0.185514,-0.584936,0.245893,0.237801,-0.472341,268.939697
4.0207214,0.259137,-0.607092,0.022641,0.019284,0.041649,269.280762
4.0404358,0.295057,-0.492163,-0.103656,-0.106253,0.135939,280.588501
4.0601196,0.430921,-0.514303,-0.154544,-0.147339,0.967104,280.319397
4.0798340,0.504544,-0.524481,-0.431659,-0.417370,1.548592,280.336060
4.0995483,0.313016,-0.413153,-0.421481,-0.422613,0.332742,287.995178
4.1192322,0.369275,-0.456259,-0.135974,-0.133811,0.561621,284.413391
4.1389771,0.330960,-0.512518,-0.030032,-0.030288,0.333410,279.244263
4.1586914,0.118482,-0.464636,-0.047992,-0.060279,-0.929638,281.029663
4.1783752,0.124463,-0.408956,-0.068347,-0.080506,-0.910224,-71.619019
4.1980891,0.119077,-0.216223,-0.219180,-0.229495,-0.657429,-47.584869
4.2178040,-0.146685,-0.065390,-0.019855,-0.034393,-1.248644,-7.466019
4.2375183,-0.137698,-0.179708,0.348844,0.330966,-1.853870,-19.039429
4.2572021,0.022702,-0.204855,0.449994,0.435537,-1.288278,-40.327801
4.2769165,0.104108,-0.130636,0.170484,0.161096,-0.605219,-37.913193
4.2966309,0.068799,-0.076162,0.127378,0.118299,-0.563922,-30.551437
4.3163753,0.007154,-0.120459,0.312940,0.300133,-1.043585,-29.606449
4.3360591,-0.007220,-0.232382,0.473340,0.457425,-1.514448,-41.621937
4.3557739,0.036481,-0.316183,0.446408,0.430804,-1.461998,-56.755100
4.3754883,-0.000033,-0.298223,0.215970,0.199490,-1.584470,-52.138542
4.3952026,0.089750,-0.350302,-0.042605,-0.056106,-1.095209,-63.334557
4.4148865,0.145414,-0.437689,-0.185061,-0.196086,-0.749477,284.794983
4.4346008,0.135831,-0.484976,-0.143161,-0.154426,-0.785403,278.769653
4.4543147,0.216047,-0.574163,-0.050982,-0.057236,-0.231333,271.040344
4.4740295,0.220838,-0.651373,0.017850,0.013343,-0.067887,263.960144
4.4937439,0.180127,-0.574163,0.041791,0.033529,-0.460003,269.861389
4.5134583,0.031690,-0.396994,-0.059970,-0.075848,-1.455223,-69.630257
4.5331421,-0.180194,-0.170736,-0.383182,-0.401213,-1.823834,-10.777660
4.5528865,-0.192767,-0.106695,-0.575915,-0.592164,-1.463744,-3.329628
4.5725703,-0.143084,-0.134222,-0.421481,-0.437901,-1.510570,-13.371128
4.5922852,-0.112551,-0.259924,-0.245517,-0.264231,-1.984841,-34.999325
4.6119690,-0.104174,-0.297628,-0.082110,-0.101208,-2.087242,-43.563606
4.6317139,-0.117358,-0.262915,-0.000110,-0.019048,-2.055310,-34.889706
4.6513977,-0.229281,-0.280279,0.031018,0.010240,-2.587049,-14.694695
4.6711121,-0.180789,-0.268896,0.000485,-0.019600,-2.356116,-24.985508
4.6908259,-0.156253,-0.192877,-0.118625,-0.136925,-1.903214,-17.593899
4.7105408,-0.143695,-0.139013,-0.012683,-0.029479,-1.618418,-13.730999
4.7302551,-0.061084,-0.142004,0.015454,0.000332,-1.341777,-24.971317
4.7499695,0.062207,-0.277883,-0.004291,-0.018216,-1.160340,-52.367348
4.7696533,0.201078,-0.348501,0.061536,0.053120,-0.480029,-64.914093
4.7893677,0.252546,-0.325750,0.085477,0.079995,-0.175658,-63.252277
4.8090816,0.281888,-0.329946,0.063931,0.060172,-0.003835,-64.056458
4.8287964,0.195096,-0.238378,0.095059,0.087572,-0.384350,-53.065773
4.8485107,0.094541,-0.206045,0.002881,-0.008540,-0.825130,-45.156986
4.8681946,0.105314,-0.218618,-0.118625,-0.129711,-0.766515,-47.158710
4.8879089,0.043058,-0.150976,-0.186847,-0.198784,-0.865384,-35.702579
4.9076233,0.053830,-0.179708,-0.106051,-0.118392,-0.929101,-39.623703
4.9273372,0.039472,-0.236578,0.041791,0.027625,-1.200585,-45.564049
4.9470520,0.016721,-0.335333,0.153119,0.136869,-1.539087,-59.033913
4.9667664,-0.013797,-0.286261,0.169278,0.152541,-1.624944,-49.326759
4.9864807,-0.073046,-0.142004,-0.031238,-0.046628,-1.379067,-23.582905
5.0061646,-0.108371,-0.007925,-0.388568,-0.399795,-0.745753,-8.666744
5.0258789,-0.143695,-0.032461,-0.361636,-0.374599,-0.979771,-5.847641
5.0455928,0.004758,-0.178518,-0.015079,-0.029193,-1.186466,-35.678352
5.0653076,0.026899,-0.266500,0.230329,0.215115,-1.378974,-48.885117
5.0850220,-0.059893,-0.245550,0.235120,0.217661,-1.763174,-38.781376
5.1047363,-0.083819,-0.155172,0.042386,0.026342,-1.493361,-23.715767
5.1244507,-0.077243,-0.111486,-0.186252,-0.200746,-1.222666,-20.030567
5.1441646,-0.004824,-0.199469,-0.018069,-0.032957,-1.301799,-37.421028
5.1638484,0.007749,-0.222219,0.265653,0.250510,-1.371631,-41.418922
5.1835322,-0.103579,-0.236578,0.219556,0.201247,-1.931882,-32.172161
5.2032776,-0.077838,-0.197073,0.060941,0.044039,-1.644451,-29.611534
5.2229919,-0.023974,-0.131826,0.016660,0.002838,-1.147890,-27.833645
5.2426758,-0.010806,-0.112066,-0.103061,-0.115798,-0.982512,-27.137104
5.2623901,-0.030566,-0.136618,-0.180270,-0.194257,-1.148141,-27.672600
5.2821040,-0.021579,-0.136022,-0.073733,-0.087526,-1.133003,-28.506062
5.3018188,-0.010211,-0.141409,0.063336,0.049624,-1.137843,-30.165188
5.3215332,0.052640,-0.160559,0.022046,0.010001,-0.907180,-37.436977
5.3412476,0.010740,-0.112081,-0.007892,-0.020031,-0.915560,-29.107845
5.3609314,0.036481,-0.194082,0.045987,0.032546,-1.097671,-40.041939
5.3806458,0.076581,-0.237173,0.150723,0.137843,-1.033647,-47.829899
5.4003596,0.041867,-0.267706,0.177060,0.162385,-1.291047,-49.919640
5.4200745,-0.035342,-0.164740,0.154325,0.139207,-1.356006,-30.296120
5.4397888,-0.105380,-0.048025,-0.001300,-0.014442,-1.050582,-11.542526
5.4595032,0.002958,-0.080358,-0.198230,-0.209403,-0.766227,-25.506390
5.4792175,0.125653,-0.131231,-0.323321,-0.331102,-0.349082,-39.287338
5.4989314,0.132840,-0.125845,-0.255679,-0.263071,-0.317795,-39.210690
5.5186152,0.086759,-0.126440,-0.061755,-0.071449,-0.606785,-36.377731
5.5383301,0.090345,-0.201254,0.132169,0.120538,-0.868754,-44.379288
5.5580444,0.160382,-0.253332,0.218366,0.208761,-0.636843,-53.425255
5.5777588,0.198087,-0.246160,0.212384,0.204750,-0.418105,-53.955338
5.5974731,0.233991,-0.221609,0.147733,0.142526,-0.158701,-52.717247
5.6171570,0.100522,-0.108480,-0.018069,-0.026713,-0.493302,-35.624168
5.6368709,0.036481,-0.010321,-0.001910,-0.009571,-0.387766,-22.870502
5.6565857,0.043058,-0.030676,0.150128,0.141689,-0.495924,-24.896015
5.6762695,0.031690,-0.086935,0.178861,0.168015,-0.777789,-28.576378
5.6960144,0.028104,-0.152182,0.205197,0.192317,-1.040295,-34.656441
5.7157288,0.111295,-0.187490,0.187238,0.176712,-0.740462,-44.062698
5.7354426,0.064603,-0.042044,0.080686,0.072712,-0.434513,-27.451485
5.7550969,-0.002429,0.048334,-0.149737,-0.155913,-0.206784,-15.813309
5.7748718,0.022718,-0.003134,-0.241916,-0.249409,-0.331006,-21.229355
5.7945256,0.143613,-0.155172,-0.062961,-0.070949,-0.413698,-42.560661
5.8142395,0.200483,-0.164144,0.103436,0.097766,-0.197588,-46.134781
5.8339849,0.086759,-0.048025,0.010663,0.003443,-0.342588,-29.550346
5.8536687,-0.009600,0.050135,-0.223361,-0.229559,-0.196575,-15.090397
5.8733826,-0.082034,0.065699,-0.222171,-0.229630,-0.330509,-7.579826
5.8931274,-0.003024,-0.034857,0.017255,0.007279,-0.651335,-21.275326
5.9128113,0.093335,-0.101904,0.019040,0.010249,-0.515400,-34.550541
5.9325261,0.064008,-0.052221,-0.115634,-0.123728,-0.417083,-28.211395
5.9522405,0.055631,-0.004934,-0.030627,-0.037324,-0.280751,-24.006752
5.9719543,0.069989,-0.072576,0.092664,0.083797,-0.534873,-30.335529
5.9916692,0.092145,-0.068975,0.047772,0.039972,-0.410572,-31.626038
6.0113530,0.104108,-0.041449,0.049573,0.043255,-0.254612,-30.245319
6.0310669,0.108899,-0.027685,-0.019259,-0.024738,-0.157758,-29.524002
6.0507507,0.079572,0.038157,-0.195834,-0.199420,0.059447,-22.912796
6.0704961,0.084958,0.038752,-0.124011,-0.127486,0.056902,-23.262310
6.0902100,0.116086,0.021402,-0.050387,-0.053464,0.081226,-26.543652
6.1098938,0.098722,-0.006735,0.023831,0.018683,-0.131993,-27.297256
6.1296086,0.149610,-0.051031,-0.000705,-0.005260,-0.069436,-33.897881
6.1493225,0.103513,-0.057608,-0.030627,-0.037436,-0.292458,-31.478706
6.1690063,0.098127,-0.000753,-0.046191,-0.050997,-0.086063,-26.833054
6.1887517,0.068204,0.011820,-0.064746,-0.070199,-0.147464,-23.804363
6.2084656,0.198087,-0.094717,-0.066546,-0.070071,0.041704,-40.041092
6.2281804,0.278882,-0.155767,0.026822,0.025885,0.262311,-48.464935
6.2478642,0.179532,-0.109686,0.156720,0.151391,-0.172283,-40.342625
6.2676091,0.162168,-0.046240,0.129773,0.125753,-0.040176,-34.271107
6.2872930,0.131650,-0.032461,0.022046,0.017316,-0.090449,-31.372448
6.3070073,0.201078,-0.094717,0.065732,0.062116,0.009429,-40.190018
6.3266912,0.290860,-0.074972,-0.020465,-0.018154,0.550027,-42.679420
6.3464360,0.183728,0.066294,-0.148547,-0.146101,0.587842,-27.893772
6.3661199,0.023313,0.184809,-0.109042,-0.107053,0.541516,-11.157780
6.3858337,-0.010806,0.155481,0.054364,0.053139,0.231477,-9.794922
6.4055486,0.050840,0.004038,0.119000,0.112266,-0.308895,-23.008892
6.4252629,0.083768,-0.057012,0.055554,0.047823,-0.404393,-30.054436
6.4449468,0.066404,-0.050421,0.000501,-0.007599,-0.435862,-28.248539
6.4646606,0.033475,-0.084539,0.121991,0.111349,-0.745467,-28.512173
6.4844055,0.114286,-0.198858,0.220761,0.210079,-0.763704,-45.441711
6.5040894,0.173551,-0.263510,0.138761,0.129736,-0.559429,-54.980011
6.5238042,0.079572,-0.186300,0.020841,0.009218,-0.852915,-42.065338
6.5435185,0.028104,-0.049230,0.086682,0.077113,-0.613946,-25.107510
6.5632324,0.034085,-0.024694,0.115415,0.106935,-0.495268,-23.719631
6.5829163,0.023908,-0.013311,-0.066546,-0.074677,-0.428734,-22.045689
6.6026311,-0.040728,0.008234,-0.183856,-0.192952,-0.519166,-14.761276
6.6223450,-0.025775,0.056116,-0.150348,-0.156873,-0.242982,-13.330368
6.6420598,0.086759,-0.028280,-0.057574,-0.063942,-0.242075,-28.029240
6.6617436,0.152600,-0.133016,0.006467,-0.000602,-0.325851,-40.972855
6.6814880,0.044263,-0.085730,0.078900,0.068652,-0.692311,-29.492161
6.7012029,0.026303,-0.119253,0.159711,0.147713,-0.918995,-31.137405
6.7208867,0.093930,-0.228796,0.244107,0.231975,-0.947037,-47.744286
6.7406006,0.136441,-0.192877,0.093869,0.084439,-0.598963,-45.948109
6.7603154,0.037671,0.004648,-0.131198,-0.137999,-0.275128,-21.922428
6.7799993,0.001767,0.016611,-0.179675,-0.187118,-0.335733,-18.118732
6.7997437,0.054441,-0.083944,-0.019855,-0.029550,-0.613058,-30.134861
6.8194585,0.202878,-0.189291,0.110623,0.104478,-0.246854,-48.559891
6.8391423,0.120877,-0.037252,-0.081515,-0.086732,-0.120845,-31.041145
6.8588562,0.011945,0.115976,-0.289203,-0.291187,0.228100,-13.388908
6.8785710,0.044858,0.026194,-0.146152,-0.151722,-0.145350,-21.062885
6.8982854,0.140622,-0.192877,0.177655,0.168309,-0.601477,-46.154640
