tempo_s,amplitude
0.035250,-0.1008
0.035375,-0.3716
0.035500,0.7906
0.035625,0.3517
0.035750,1.3136
0.035875,0.1396
0.036000,2.5200
0.036125,2.3951
0.036250,3.4986
0.036375,1.2563
0.036500,1.2349
0.036625,0.9667
0.036750,1.6780
0.036875,1.0089
0.037000,3.1471
0.037125,1.5784
0.037250,-0.0026
0.037375,0.4235
0.037500,1.0484
0.037625,0.3429
0.037750,1.1544
0.037875,0.8623
0.038000,0.0530
0.038125,0.9800
0.038250,0.4194
0.038375,-0.1305
0.038500,0.5566
0.038625,-0.0627
0.038750,-0.4562
0.038875,1.0878
0.039000,0.9193
0.039125,-0.6677
0.039250,-0.6822
0.039375,-1.4620
0.039500,0.4353
0.039625,-0.4806
0.039750,-1.0815
0.039875,-0.7550
0.040000,-0.6871
0.040125,-0.1314
0.040250,0.1451
0.040375,0.4728
0.040500,-1.1620
0.040625,0.5798
0.040750,0.4620
0.040875,-0.7756
0.041000,0.1141
0.041125,-1.2140
0.041250,0.1784
0.041375,-0.8224
0.041500,-1.5433
0.041625,-0.1107
0.041750,0.5346
0.041875,-1.0133
0.042000,-0.6480
0.042125,0.0697
0.042250,-0.3567
0.042375,-0.5284
0.042500,-2.5343
0.042625,-2.3972
0.042750,-0.6460
0.042875,-0.4677
0.043000,-0.7162
0.043125,-1.7841
0.043250,-1.3639
0.043375,-0.0466
0.043500,-2.1345
0.043625,-0.3121
0.043750,-1.5339
0.043875,-2.4004
0.044000,-0.2790
0.044125,-0.9799
0.044250,-0.6192
0.044375,0.7743
0.044500,-0.8078
0.044625,0.0031
0.044750,0.2927
0.044875,0.8038
0.045000,1.0340
0.045125,0.7984
0.045250,2.2125
0.045375,1.7229
0.045500,0.7322
0.045625,0.8390
0.045750,2.9856
0.045875,0.9590
0.046000,0.9710
0.046125,0.6415
0.046250,1.0177
0.046375,1.0521
0.046500,0.4062
0.046625,1.0226
0.046750,1.7723
0.046875,0.8626
0.047000,0.0514
0.047125,0.9852
0.047250,0.9206
0.047375,0.2783
0.047500,0.3976
0.047625,0.3793
0.047750,1.5169
0.047875,0.4129
0.048000,0.7638
0.048125,-0.7012
0.048250,-0.8243
0.048375,0.1010
0.048500,0.9491
0.048625,0.1718
0.048750,-0.9079
0.048875,0.8685
0.049000,0.7914
0.049125,-0.6091
0.049250,-0.5867
0.049375,1.0403
0.049500,1.5419
0.049625,-0.0280
0.049750,-0.2299
0.049875,-0.9397
0.050000,0.8181
0.050125,-1.3535
0.050250,0.2303
0.050375,1.9142
0.050500,0.6940
0.050625,0.9187
0.050750,0.4756
0.050875,-1.3003
0.051000,0.7608
0.051125,0.0976
0.051250,0.1492
0.051375,0.0318
0.051500,-1.9915
0.051625,-0.4958
0.051750,0.0031
0.051875,-0.0218
0.052000,-1.0845
0.052125,-1.9146
0.052250,-1.4246
0.052375,-0.3017
0.052500,-1.4967
0.052625,-0.8089
0.052750,-2.6258
0.052875,-1.2159
0.053000,-1.7310
0.053125,-1.2968
0.053250,-2.3705
0.053375,-1.3952
0.053500,-0.8633
0.053625,-1.0412
0.053750,0.0600
0.053875,0.9088
0.054000,-0.0033
0.054125,0.3324
0.054250,1.2964
0.054375,1.1568
0.054500,1.9789
0.054625,-0.1596
0.054750,2.1590
0.054875,1.8497
0.055000,1.6346
0.055125,2.2405
0.055250,2.2251
0.055375,-0.1051
0.055500,1.5400
0.055625,-0.2707
0.055750,-0.0715
0.055875,0.1622
0.056000,0.2834
0.056125,0.8285
0.056250,2.6580
0.056375,2.1275
0.056500,1.9922
0.056625,-0.0129
0.056750,-0.7003
0.056875,-0.1198
0.057000,-0.3844
0.057125,0.1536
0.057250,1.4829
0.057375,-0.6095
0.057500,1.1898
0.057625,0.2106
0.057750,0.2072
0.057875,-1.1478
0.058000,0.1516
0.058125,-1.0490
0.058250,-2.3616
0.058375,0.4670
0.058500,0.3698
0.058625,-2.1979
0.058750,0.4737
0.058875,0.0264
0.059000,-0.2628
0.059125,-0.2925
0.059250,0.0337
0.059375,-0.7542
0.059500,-1.3647
0.059625,-0.2464
0.059750,-0.2349
0.059875,-1.2567
0.060000,-1.0180
0.060125,-1.0134
0.060250,1.4274
0.060375,-0.1807
0.060500,-0.3159
0.060625,-0.4729
0.060750,-1.7536
0.060875,0.0546
0.061000,-0.6730
0.061125,0.8652
0.061250,0.9034
0.061375,-0.2157
0.061500,-2.3765
0.061625,-0.6684
0.061750,-1.1839
0.061875,-2.0773
0.062000,-2.1736
0.062125,-1.9038
0.062250,-0.5679
0.062375,-3.5474
0.062500,-0.6113
0.062625,-1.5483
0.062750,-0.5990
0.062875,-1.0889
0.063000,-0.5477
0.063125,-0.4278
0.063250,0.1024
0.063375,1.1758
0.063500,1.6521
0.063625,0.5859
0.063750,1.6219
0.063875,3.4636
0.064000,1.4364
0.064125,0.3280
0.064250,2.0246
0.064375,0.8147
0.064500,1.6194
0.064625,2.3575
0.064750,2.0814
0.064875,1.5385
0.065000,1.5443
0.065125,1.2455
0.065250,0.5749
0.065375,1.6310
0.065500,0.2795
0.065625,0.5293
0.065750,1.7471
0.065875,-0.2080
0.066000,1.1893
0.066125,0.4216
0.066250,2.5873
0.066375,-0.9934
0.066500,0.9222
0.066625,0.6732
0.066750,-0.9948
0.066875,0.5305
0.067000,-1.3455
0.067125,-1.0244
0.067250,0.0006
0.067375,-1.1101
0.067500,-0.8265
0.067625,-0.6070
0.067750,-0.1031
0.067875,-1.4980
0.068000,-0.2235
0.068125,0.9733
0.068250,-0.4972
0.068375,-1.0790
0.068500,-1.2547
0.068625,-0.4570
0.068750,0.9552
0.068875,0.6697
0.069000,-0.0896
0.069125,0.5932
0.069250,-0.0580
0.069375,-0.4460
0.069500,0.5818
0.069625,-1.7258
0.069750,-0.8340
0.069875,-1.3428
0.070000,0.2024
0.070125,-0.8690
0.070250,-0.9357
0.070375,-1.6919
0.070500,-2.1809
0.070625,-0.9047
0.070750,-0.3580
0.070875,-2.0802
0.071000,-0.0833
0.071125,-0.9209
0.071250,-0.4069
0.071375,-1.6275
0.071500,-0.2505
0.071625,-2.6731
0.071750,-0.9213
0.071875,-0.4176
0.072000,0.4328
0.072125,-0.4271
0.072250,0.5659
0.072375,-0.4224
0.072500,1.6614
0.072625,-0.5295
0.072750,1.9123
0.072875,0.3961
0.073000,1.3201
0.073125,0.8814
0.073250,1.8868
0.073375,0.5046
0.073500,1.5003
0.073625,1.0842
0.073750,0.4611
0.073875,0.0221
0.074000,1.5552
0.074125,0.2351
0.074250,0.4231
0.074375,0.5265
0.074500,-0.2115
0.074625,-0.2632
0.074750,0.2800
0.074875,1.5706
0.075000,-0.0032
0.075125,-1.3455
0.075250,1.1391
0.075375,0.3745
0.075500,0.9895
0.075625,0.9017
0.075750,-0.3292
0.075875,-0.0542
0.076000,0.4131
0.076125,0.8544
0.076250,0.3817
0.076375,1.4198
0.076500,-0.6540
0.076625,-0.0958
0.076750,-0.2020
0.076875,1.9262
0.077000,1.1389
0.077125,0.1595
0.077250,-1.3536
0.077375,-0.1842
0.077500,-0.7658
0.077625,0.2907
0.077750,-0.7316
0.077875,-0.0625
0.078000,-0.2035
0.078125,-1.0563
0.078250,-1.9043
0.078375,0.4319
0.078500,-0.4851
0.078625,0.1246
0.078750,-0.6403
0.078875,0.3082
0.079000,-0.0697
0.079125,-0.6231
0.079250,-1.1621
0.079375,-0.6473
0.079500,-0.8619
0.079625,-1.1501
0.079750,-1.1974
0.079875,0.0359
0.080000,-0.7065
0.080125,-1.5147
0.080250,-2.1550
0.080375,-1.3712
0.080500,-0.2408
0.080625,-1.1377
0.080750,-1.5583
0.080875,-0.9840
0.081000,-0.7974
0.081125,-1.0692
0.081250,-0.3421
0.081375,-0.1790
0.081500,-0.7028
0.081625,1.0393
0.081750,1.4148
0.081875,0.3686
0.082000,0.7255
0.082125,1.7905
0.082250,2.7165
0.082375,2.0012
0.082500,0.9256
0.082625,1.3029
0.082750,1.0063
0.082875,0.5447
0.083000,-0.4220
0.083125,1.9069
0.083250,-0.6946
0.083375,0.2027
0.083500,0.4486
0.083625,2.7675
0.083750,2.2438
0.083875,0.9234
0.084000,0.5411
0.084125,0.6537
0.084250,0.3037
0.084375,1.3689
0.084500,0.3230
0.084625,1.1791
0.084750,0.7778
0.084875,0.0915
0.085000,1.0547
0.085125,0.3183
0.085250,0.4400
0.085375,-1.3012
0.085500,0.6315
0.085625,-0.0418
0.085750,-0.3221
0.085875,0.2628
0.086000,0.3876
0.086125,-0.9440
0.086250,-0.7569
0.086375,-0.9457
0.086500,-0.6039
0.086625,-0.4267
0.086750,0.7925
0.086875,0.4803
0.087000,0.0196
0.087125,-0.7738
0.087250,-1.4560
0.087375,-0.2579
0.087500,-0.1629
0.087625,0.3695
0.087750,-1.0144
0.087875,-0.0186
0.088000,-0.4510
0.088125,-0.8175
0.088250,-1.1903
0.088375,-1.2236
0.088500,-1.0033
0.088625,-0.2447
0.088750,0.0541
0.088875,-0.2120
0.089000,-1.5659
0.089125,-0.9539
0.089250,-1.2548
0.089375,0.8144
0.089500,-1.2342
0.089625,-1.7170
0.089750,-0.7642
0.089875,-0.9557
0.090000,-2.0772
0.090125,-1.3114
0.090250,-1.5100
0.090375,-1.9686
0.090500,-1.8251
0.090625,-1.1501
0.090750,0.2350
0.090875,0.3461
0.091000,-0.5044
0.091125,1.3145
0.091250,1.1251
0.091375,0.5799
0.091500,1.1863
0.091625,1.2127
0.091750,0.3168
0.091875,0.6906
0.092000,-0.4235
0.092125,2.0410
0.092250,0.6572
0.092375,1.3570
0.092500,-0.0814
0.092625,1.1506
0.092750,-0.4533
0.092875,0.5073
0.093000,0.9256
0.093125,-0.6797
0.093250,1.6983
0.093375,0.1941
0.093500,0.3464
0.093625,1.7949
0.093750,0.2286
0.093875,-0.1953
0.094000,-0.5910
0.094125,-0.1230
0.094250,1.9519
0.094375,0.4371
0.094500,0.1876
0.094625,-0.2354
0.094750,-0.4675
0.094875,-0.2726
0.095000,-0.3387
0.095125,-0.2773
0.095250,-0.3116
0.095375,-0.0724
0.095500,-0.4467
0.095625,-1.0666
0.095750,0.2589
0.095875,0.8247
0.096000,-1.4271
0.096125,-0.0951
0.096250,-0.5229
0.096375,1.7671
0.096500,-0.3779
0.096625,-1.0253
0.096750,0.6703
0.096875,0.4436
0.097000,0.7233
0.097125,-0.2433
0.097250,-1.8178
0.097375,-0.6577
0.097500,-1.4997
0.097625,-0.3804
0.097750,-0.5767
0.097875,0.6495
0.098000,-0.3743
0.098125,-0.9021
0.098250,-0.1207
0.098375,-0.6693
0.098500,0.9035
0.098625,-0.7654
0.098750,0.2935
0.098875,-1.0940
0.099000,0.3401
0.099125,-2.3016
0.099250,-0.0685
0.099375,0.4565
0.099500,-1.9613
0.099625,-0.6737
0.099750,-1.2448
0.099875,-1.6110
0.100000,-0.3379
0.100125,1.3475
0.100250,0.9102
0.100375,1.4080
0.100500,0.0645
0.100625,2.0641
0.100750,1.8592
0.100875,0.5352
0.101000,1.4055
0.101125,1.4389
0.101250,1.7409
0.101375,0.8778
0.101500,1.5275
0.101625,0.9905
0.101750,1.4977
0.101875,1.6363
0.102000,0.7590
0.102125,0.2886
0.102250,0.4558
0.102375,0.5312
0.102500,1.3060
0.102625,0.8827
0.102750,-0.8154
0.102875,1.0029
0.103000,0.3173
0.103125,1.5007
0.103250,0.0308
0.103375,-1.7518
0.103500,-1.3393
0.103625,0.5081
0.103750,0.7901
0.103875,-0.1858
0.104000,-0.9280
0.104125,-0.1557
0.104250,-0.5116
0.104375,-1.0081
0.104500,-0.6844
0.104625,0.7816
0.104750,-0.3592
0.104875,-0.7815
0.105000,-0.1685
0.105125,-1.2537
0.105250,-0.4586
0.105375,-1.1908
0.105500,-1.3582
0.105625,0.1078
0.105750,0.0481
0.105875,0.3163
0.106000,-1.6878
0.106125,0.5334
0.106250,-1.9125
0.106375,0.6903
0.106500,-0.4040
0.106625,-0.3653
0.106750,-2.2802
0.106875,-1.5191
0.107000,-0.4003
0.107125,-0.6683
0.107250,-1.4160
0.107375,-1.3420
0.107500,-1.3394
0.107625,-1.9595
0.107750,-0.5914
0.107875,-1.2179
0.108000,-1.5311
0.108125,-0.6725
0.108250,-2.0419
0.108375,-0.8920
0.108500,-0.5589
0.108625,-0.3439
0.108750,-0.0930
0.108875,-0.0821
0.109000,-1.0699
0.109125,1.0222
0.109250,0.5436
0.109375,-0.6683
0.109500,-0.4124
0.109625,0.6350
0.109750,0.9328
0.109875,0.3416
0.110000,0.1786
0.110125,0.6422
0.110250,0.0722
0.110375,0.8399
0.110500,1.8311
0.110625,0.6118
0.110750,0.3460
0.110875,1.0742
0.111000,0.5517
0.111125,1.0820
0.111250,1.8713
0.111375,-1.2555
0.111500,-0.9704
0.111625,1.0366
0.111750,-0.0081
0.111875,0.9726
0.112000,-1.4240
0.112125,0.0480
0.112250,1.4769
0.112375,1.1711
0.112500,0.5075
0.112625,-0.9267
0.112750,0.2136
0.112875,0.3476
0.113000,0.2883
0.113125,0.6338
0.113250,0.8372
0.113375,0.7960
0.113500,0.2547
0.113625,2.1385
0.113750,-0.4890
0.113875,-0.1849
0.114000,-0.5969
0.114125,-0.1141
0.114250,-0.9780
0.114375,-0.6089
0.114500,0.2120
0.114625,0.4859
0.114750,-1.4211
0.114875,-0.3582
0.115000,-1.4722
0.115125,0.3898
0.115250,0.7731
0.115375,-0.6026
0.115500,-1.2741
0.115625,-0.5869
0.115750,0.9648
0.115875,-0.2608
0.116000,-0.8076
0.116125,-0.0508
0.116250,-0.3060
0.116375,0.9052
0.116500,-1.0297
0.116625,-1.0292
0.116750,0.0942
0.116875,-1.2070
0.117000,-0.6798
0.117125,-2.1777
0.117250,-1.3279
0.117375,-0.5183
0.117500,-1.5311
0.117625,-1.4528
0.117750,-1.3072
0.117875,-1.1004
0.118000,-1.2648
0.118125,0.0378
0.118250,-0.0927
0.118375,-0.8679
0.118500,1.8778
0.118625,0.0921
0.118750,0.5367
0.118875,1.2981
0.119000,0.2324
0.119125,2.5136
0.119250,2.5166
0.119375,2.5904
0.119500,0.2361
0.119625,0.7896
0.119750,1.2836
0.119875,0.0664
0.120000,1.2378
0.120125,-0.1632
0.120250,0.5755
0.120375,1.3306
0.120500,0.0157
0.120625,0.2864
0.120750,1.3701
0.120875,1.0682
0.121000,0.7286
0.121125,0.3639
0.121250,0.1812
0.121375,1.5785
0.121500,0.8218
0.121625,-0.9300
0.121750,1.7409
0.121875,0.7238
0.122000,0.2122
0.122125,1.6837
0.122250,-1.7481
0.122375,0.0877
0.122500,-0.6010
0.122625,-0.8797
0.122750,0.8481
0.122875,0.2069
0.123000,0.1914
0.123125,-0.2371
0.123250,-0.5197
0.123375,-1.2379
0.123500,-0.0663
0.123625,-0.4387
0.123750,-0.4754
0.123875,0.5026
0.124000,0.2664
0.124125,-0.9019
0.124250,-1.0168
0.124375,-0.0321
0.124500,-0.6143
0.124625,-1.1794
0.124750,-0.7211
0.124875,-0.8209
0.125000,-0.6770
0.125125,-1.4279
0.125250,-1.0722
0.125375,-0.0906
0.125500,-0.5490
0.125625,-0.7639
0.125750,-0.3085
0.125875,-0.0952
0.126000,-0.6157
0.126125,-1.5801
0.126250,0.0267
0.126375,-0.0131
0.126500,-1.0265
0.126625,-1.7359
0.126750,-0.5415
0.126875,-1.6525
0.127000,-0.4739
0.127125,-2.3294
0.127250,-0.3950
0.127375,0.1855
0.127500,-1.0171
0.127625,0.1647
0.127750,0.7302
0.127875,0.4369
0.128000,1.7655
0.128125,-0.0240
0.128250,0.8999
0.128375,1.1849
0.128500,1.2384
0.128625,1.3724
0.128750,0.4983
0.128875,2.0390
0.129000,1.2233
0.129125,0.1019
0.129250,0.9418
0.129375,0.4736
0.129500,0.3041
0.129625,0.9504
0.129750,2.6476
0.129875,-1.4882
0.130000,-0.7523
0.130125,0.8989
0.130250,0.6109
0.130375,0.0320
0.130500,-0.2275
0.130625,1.7136
0.130750,1.1389
0.130875,1.0253
0.131000,0.6747
0.131125,0.0599
0.131250,0.2816
0.131375,-1.0859
0.131500,-0.0566
0.131625,-1.3160
0.131750,-0.2007
0.131875,-0.8525
0.132000,-0.0049
0.132125,-0.0945
0.132250,0.8268
0.132375,0.9375
0.132500,-0.7043
0.132625,0.0278
0.132750,0.9057
0.132875,0.8493
0.133000,0.4167
0.133125,0.5702
0.133250,0.2822
0.133375,0.7959
0.133500,-0.4528
0.133625,-0.7078
0.133750,1.0317
0.133875,-0.2304
0.134000,-0.5253
0.134125,-0.0593
0.134250,-0.8138
0.134375,-0.8502
0.134500,-2.5698
0.134625,-2.1229
0.134750,0.6393
0.134875,-0.4812
0.135000,-0.4841
0.135125,-0.3894
0.135250,-0.3626
0.135375,-2.0468
0.135500,-1.3916
0.135625,-0.1259
0.135750,-2.6875
0.135875,-1.2869
0.136000,-0.5104
0.136125,-0.1905
0.136250,-0.0523
0.136375,0.0359
0.136500,-3.0525
0.136625,0.3970
0.136750,0.3523
0.136875,-0.4834
0.137000,0.7752
0.137125,0.7775
0.137250,1.5115
0.137375,1.0440
0.137500,1.3747
0.137625,1.0428
0.137750,0.3398
0.137875,1.8894
0.138000,2.1137
0.138125,0.9748
0.138250,0.8140
0.138375,1.1014
0.138500,0.4875
0.138625,0.1400
0.138750,0.4973
0.138875,0.4268
0.139000,-0.7152
0.139125,1.1463
0.139250,0.9587
0.139375,1.3204
0.139500,0.5574
0.139625,1.5789
0.139750,0.4416
0.139875,0.4508
0.140000,0.6026
0.140125,0.3079
0.140250,-0.2733
0.140375,-0.7075
0.140500,-1.5961
0.140625,-0.4167
0.140750,0.7960
0.140875,-0.2543
0.141000,1.4845
0.141125,1.0903
0.141250,0.0505
0.141375,-0.4365
0.141500,-0.5264
0.141625,0.3632
0.141750,-0.3236
0.141875,0.0089
0.142000,0.5905
0.142125,0.1804
0.142250,0.4343
0.142375,-0.1108
0.142500,1.4713
0.142625,0.0106
0.142750,-1.5047
0.142875,-0.3733
0.143000,-0.4603
0.143125,-0.3992
0.143250,-0.3427
0.143375,0.3778
0.143500,-0.5404
0.143625,-0.1554
0.143750,-0.5650
0.143875,-0.7829
0.144000,-1.0177
0.144125,-1.2399
0.144250,-1.7412
0.144375,-1.4851
0.144500,-1.6709
0.144625,-2.5297
0.144750,-1.3347
0.144875,-1.4263
0.145000,-2.2939
0.145125,-0.7918
0.145250,-0.7703
0.145375,-0.2500
0.145500,0.0285
0.145625,0.4045
0.145750,-1.2923
0.145875,-0.3023
0.146000,0.1745
0.146125,0.1622
0.146250,0.8649
0.146375,1.5269
0.146500,0.1801
0.146625,0.6014
0.146750,1.9421
0.146875,1.4102
0.147000,0.5257
0.147125,1.0496
0.147250,1.2241
0.147375,1.2254
0.147500,0.3862
0.147625,1.4282
0.147750,0.0673
0.147875,0.8611
0.148000,1.1008
0.148125,2.4162
0.148250,0.4939
0.148375,-0.2055
0.148500,-0.7004
0.148625,0.0372
0.148750,-0.3494
0.148875,0.2014
0.149000,1.7516
0.149125,-0.3635
0.149250,-0.2759
0.149375,1.2883
0.149500,-0.0352
0.149625,-0.0212
0.149750,-0.3646
0.149875,0.9260
0.150000,-0.7820
0.150125,-1.7645
0.150250,0.8408
0.150375,0.5586
0.150500,-2.0608
0.150625,-0.2127
0.150750,-0.3435
0.150875,-0.4533
0.151000,1.1304
0.151125,1.0971
0.151250,0.7329
0.151375,-0.3793
0.151500,0.4063
0.151625,0.5398
0.151750,0.1464
0.151875,-0.1562
0.152000,0.6455
0.152125,-0.2354
0.152250,-0.0361
0.152375,-0.3902
0.152500,0.0724
0.152625,-0.1335
0.152750,-1.2080
0.152875,-0.7040
0.153000,-2.1462
0.153125,-1.0086
0.153250,-0.2778
0.153375,0.3860
0.153500,-0.9855
0.153625,0.5885
0.153750,-0.8877
0.153875,-0.6891
0.154000,-0.2488
0.154125,-2.4934
0.154250,-0.0826
0.154375,-3.0302
0.154500,-1.1019
0.154625,-0.7716
0.154750,-2.3845
0.154875,-0.6061
0.155000,-1.5044
0.155125,-0.6752
0.155250,0.2616
0.155375,-0.7591
0.155500,0.4909
0.155625,1.5594
0.155750,1.1907
0.155875,0.5321
0.156000,0.1227
0.156125,0.2621
0.156250,1.3265
0.156375,-0.4302
0.156500,-0.0056
0.156625,0.7845
0.156750,0.9681
0.156875,-0.1978
0.157000,0.6593
0.157125,0.8536
0.157250,0.3975
0.157375,1.3442
0.157500,0.3802
0.157625,-0.4807
0.157750,0.1827
0.157875,-0.3689
0.158000,-0.0329
0.158125,0.3698
0.158250,0.4471
0.158375,-0.1150
0.158500,-0.3692
0.158625,-0.7770
0.158750,-0.4662
0.158875,0.1027
0.159000,1.6399
0.159125,1.5978
0.159250,-0.9465
0.159375,-0.4109
0.159500,0.6130
0.159625,0.7617
0.159750,1.0232
0.159875,-0.0536
0.160000,0.3875
0.160125,-1.1998
0.160250,1.4067
0.160375,-1.0043
0.160500,0.6560
0.160625,0.3513
0.160750,-1.1490
0.160875,-0.3279
0.161000,-0.1139
0.161125,-0.1235
0.161250,1.9078
0.161375,0.1560
0.161500,-0.9401
0.161625,-2.1856
0.161750,-1.4185
0.161875,-0.3175
0.162000,-1.4657
0.162125,-0.9079
0.162250,-0.4872
0.162375,-0.5215
0.162500,-0.7497
0.162625,-0.5704
0.162750,-1.9359
0.162875,-1.0958
0.163000,-0.8037
0.163125,-0.8035
0.163250,-0.4736
0.163375,-1.2264
0.163500,-1.9552
0.163625,-1.6569
0.163750,-0.9424
0.163875,-1.1617
0.164000,-1.2418
0.164125,-0.7312
0.164250,-1.7605
0.164375,0.3396
0.164500,0.4646
0.164625,0.8331
0.164750,1.0642
0.164875,0.3018
0.165000,1.3526
0.165125,1.4293
0.165250,0.1485
0.165375,2.1189
0.165500,2.0045
0.165625,0.4062
0.165750,0.7968
0.165875,1.0278
0.166000,1.9486
0.166125,-0.1889
0.166250,0.8560
