tempo_s,aceleracao_g
0.2050,2.3209
0.2055,1.4484
0.2060,2.8177
0.2065,0.5211
0.2070,0.6112
0.2075,1.7662
0.2080,-0.2652
0.2085,0.2109
0.2090,1.7340
0.2095,2.0444
0.2100,0.8396
0.2105,0.1428
0.2110,0.8170
0.2115,1.3638
0.2120,0.8845
0.2125,0.8781
0.2130,1.1046
0.2135,0.7481
0.2140,-0.0007
0.2145,1.7715
0.2150,0.4858
0.2155,-0.2251
0.2160,0.3263
0.2165,-0.0336
0.2170,0.7205
0.2175,-0.0740
0.2180,0.5420
0.2185,0.0830
0.2190,0.7688
0.2195,-1.3466
0.2200,0.1518
0.2205,-2.3164
0.2210,-0.6845
0.2215,-0.1187
0.2220,-1.1074
0.2225,-1.0121
0.2230,0.8755
0.2235,-1.7276
0.2240,-0.9283
0.2245,-0.6034
0.2250,-1.1266
0.2255,-1.4114
0.2260,-0.5041
0.2265,-1.6965
0.2270,-0.5288
0.2275,-1.8774
0.2280,-0.1565
0.2285,-1.4900
0.2290,-0.8009
0.2295,-1.9400
0.2300,-1.5180
0.2305,-0.6645
0.2310,-0.8267
0.2315,-1.2116
0.2320,0.9047
0.2325,-0.4430
0.2330,0.9163
0.2335,0.6322
0.2340,-0.3283
0.2345,1.3932
0.2350,-0.0731
0.2355,0.5546
0.2360,0.5720
0.2365,2.3990
0.2370,-0.7612
0.2375,-0.1980
0.2380,-2.2429
0.2385,1.2053
0.2390,-0.7853
0.2395,0.5947
0.2400,1.1900
0.2405,0.6363
0.2410,0.5643
0.2415,0.9738
0.2420,0.8616
0.2425,0.0147
0.2430,0.1783
0.2435,1.0022
0.2440,-0.6101
0.2445,0.9571
0.2450,1.4167
0.2455,1.4869
0.2460,1.3610
0.2465,-0.7373
0.2470,0.0443
0.2475,-0.7801
0.2480,0.3857
0.2485,-0.2695
0.2490,1.0725
0.2495,0.0676
0.2500,-0.1940
0.2505,0.3442
0.2510,0.9407
0.2515,0.9018
0.2520,-0.7095
0.2525,0.5738
0.2530,-0.8307
0.2535,0.6431
0.2540,-0.9508
0.2545,1.0210
0.2550,0.4031
0.2555,-0.6163
0.2560,-0.5665
0.2565,-2.4925
0.2570,-1.4300
0.2575,-2.1427
0.2580,-0.6908
0.2585,-0.8418
0.2590,-0.8764
0.2595,-1.0456
0.2600,0.3096
0.2605,-0.6584
0.2610,-1.6735
0.2615,-0.1442
0.2620,-1.4112
0.2625,1.1986
0.2630,0.5852
0.2635,-0.0270
0.2640,-2.2555
0.2645,-1.2562
0.2650,0.3100
0.2655,0.1386
0.2660,-1.2160
0.2665,-1.1598
0.2670,-0.0430
0.2675,-0.3025
0.2680,-1.1922
0.2685,-1.3825
0.2690,0.4578
0.2695,2.0406
0.2700,2.5412
0.2705,-0.1626
0.2710,0.0797
0.2715,1.3513
0.2720,1.0088
0.2725,0.1578
0.2730,2.1593
0.2735,2.4395
0.2740,0.6443
0.2745,0.6630
0.2750,0.9287
0.2755,0.8830
0.2760,1.1359
0.2765,0.7527
0.2770,0.3204
0.2775,0.4473
0.2780,0.9501
0.2785,-0.2315
0.2790,1.0302
0.2795,1.2593
0.2800,0.7608
0.2805,0.5006
0.2810,0.6967
0.2815,0.9618
0.2820,0.3632
0.2825,-0.6027
0.2830,1.7397
0.2835,0.8093
0.2840,-0.3200
0.2845,-0.0988
0.2850,1.5234
0.2855,-1.3853
0.2860,-0.9743
0.2865,-1.0983
0.2870,1.4850
0.2875,1.1643
0.2880,-0.7472
0.2885,0.0001
0.2890,0.3025
0.2895,-1.2678
0.2900,-0.0830
0.2905,-1.4796
0.2910,-0.6281
0.2915,-0.3826
0.2920,-1.7794
0.2925,-1.6207
0.2930,-1.2341
0.2935,-1.1485
0.2940,-2.1264
0.2945,-1.7462
0.2950,-2.3379
0.2955,-2.9650
0.2960,-0.7596
0.2965,-3.3447
0.2970,-1.0296
0.2975,-1.0223
0.2980,0.0992
0.2985,1.0672
0.2990,-0.1216
0.2995,-0.7712
0.3000,-0.5490
0.3005,-0.6053
0.3010,0.6012
0.3015,0.1413
0.3020,-0.9520
0.3025,0.7099
0.3030,-0.8863
0.3035,-0.2539
0.3040,-0.5594
0.3045,-0.9147
0.3050,2.1615
0.3055,0.8271
0.3060,2.4518
0.3065,0.6832
0.3070,0.1060
0.3075,3.3008
0.3080,1.5111
0.3085,2.4122
0.3090,-0.8329
0.3095,2.6753
0.3100,0.9723
0.3105,0.9875
0.3110,0.2496
0.3115,0.2652
0.3120,-1.5066
0.3125,0.8550
0.3130,-0.2499
0.3135,0.4732
0.3140,1.0394
0.3145,-0.1175
0.3150,-0.9218
0.3155,-0.0005
0.3160,-0.4939
0.3165,0.5865
0.3170,0.1413
0.3175,-0.8656
0.3180,-0.6304
0.3185,1.1865
0.3190,-1.5247
0.3195,-0.8200
0.3200,-1.3599
0.3205,0.7141
0.3210,0.0037
0.3215,-0.0870
0.3220,0.7968
0.3225,0.6637
0.3230,-1.1349
0.3235,-1.7763
0.3240,-2.0570
0.3245,-2.3278
0.3250,-1.1939
0.3255,-0.8261
0.3260,-2.8070
0.3265,-0.8007
0.3270,-1.3068
0.3275,-1.3493
0.3280,-1.7635
0.3285,0.4578
0.3290,-0.8156
0.3295,-2.0742
0.3300,-0.4749
0.3305,-1.8297
0.3310,-0.8717
0.3315,0.2905
0.3320,-0.7153
0.3325,0.0436
0.3330,0.9213
0.3335,0.1431
0.3340,-1.1880
0.3345,-0.3740
0.3350,1.4842
0.3355,0.8789
0.3360,0.1190
0.3365,1.6009
0.3370,0.1888
0.3375,1.9189
0.3380,-0.5992
0.3385,1.1921
0.3390,1.1083
0.3395,-0.3844
0.3400,-0.5509
0.3405,0.8036
0.3410,1.6519
0.3415,0.0364
0.3420,0.9930
0.3425,1.1141
0.3430,0.8955
0.3435,2.0100
0.3440,0.3899
0.3445,0.9071
0.3450,0.7250
0.3455,1.5748
0.3460,1.7975
0.3465,0.4023
0.3470,0.1754
0.3475,-0.1932
0.3480,1.7084
0.3485,0.2534
0.3490,1.9206
0.3495,0.7244
0.3500,-0.2075
0.3505,0.9439
0.3510,-0.4793
0.3515,-0.7021
0.3520,-1.0352
0.3525,-1.3841
0.3530,-0.1683
0.3535,0.2402
0.3540,-1.7293
0.3545,-1.3326
0.3550,-1.4738
0.3555,0.3990
0.3560,-0.0515
0.3565,-0.5842
0.3570,0.0256
0.3575,0.8320
0.3580,-1.0420
0.3585,-0.5554
0.3590,-2.0463
0.3595,-2.2908
0.3600,-2.0938
0.3605,-1.5015
0.3610,0.0943
0.3615,-2.1167
0.3620,-1.8148
0.3625,0.4992
0.3630,-0.6603
0.3635,1.6444
0.3640,-1.2510
0.3645,0.1356
0.3650,0.1062
0.3655,1.0231
0.3660,-0.9704
0.3665,-0.4010
0.3670,1.2817
0.3675,-0.8255
0.3680,-0.5834
0.3685,-0.0162
0.3690,0.2244
0.3695,2.4582
0.3700,-0.6441
0.3705,0.2777
0.3710,0.5671
0.3715,1.4525
0.3720,1.6079
0.3725,0.1062
0.3730,-0.1009
0.3735,1.4149
0.3740,1.4061
0.3745,1.0126
0.3750,1.4059
0.3755,0.7876
0.3760,2.1349
0.3765,-0.7418
0.3770,0.7378
0.3775,0.6511
0.3780,-0.3051
0.3785,1.2602
0.3790,-0.1493
0.3795,-0.0640
0.3800,0.0174
0.3805,0.1797
0.3810,-0.3129
0.3815,-0.2209
0.3820,0.4631
0.3825,-1.0435
0.3830,1.6342
0.3835,1.1517
0.3840,-1.4543
0.3845,-0.9718
0.3850,-1.6560
0.3855,-0.6147
0.3860,-0.9780
0.3865,0.0317
0.3870,-1.4303
0.3875,-0.9834
0.3880,-1.2222
0.3885,-1.3879
0.3890,-1.7105
0.3895,-1.2121
0.3900,-0.1495
0.3905,-0.5187
0.3910,-1.2909
0.3915,0.9557
0.3920,-0.4618
0.3925,-2.3417
0.3930,-1.4629
0.3935,-2.9813
0.3940,-1.0772
0.3945,-2.3993
0.3950,-1.8409
0.3955,-2.5292
0.3960,-1.9702
0.3965,-2.0109
0.3970,-0.8857
0.3975,-1.1692
0.3980,-0.1023
0.3985,0.8693
0.3990,-1.0645
0.3995,0.1057
0.4000,0.0300
0.4005,-1.1021
0.4010,2.2272
0.4015,-0.1722
0.4020,0.5920
0.4025,-0.0465
0.4030,0.2155
0.4035,-0.2552
0.4040,1.0331
0.4045,-0.2592
0.4050,0.5145
0.4055,1.2070
0.4060,0.8720
0.4065,0.6536
0.4070,1.8634
0.4075,-0.5448
0.4080,1.9378
0.4085,1.2375
0.4090,-1.1006
0.4095,-0.1688
0.4100,2.2716
0.4105,1.4413
0.4110,-0.0477
0.4115,-0.7956
0.4120,0.1728
0.4125,1.1188
0.4130,0.7073
0.4135,-0.2849
0.4140,-0.6580
0.4145,-0.7449
0.4150,0.8855
0.4155,0.1565
0.4160,-0.5638
0.4165,-2.1930
0.4170,-1.4802
0.4175,-1.0123
0.4180,-1.0146
0.4185,-1.1083
0.4190,-0.3620
0.4195,0.8098
0.4200,0.0066
0.4205,-0.2442
0.4210,0.1915
0.4215,0.1082
0.4220,-0.1009
0.4225,-2.0329
0.4230,0.4951
0.4235,0.2430
0.4240,0.0391
0.4245,-1.9746
0.4250,-1.7531
0.4255,-1.4386
0.4260,-1.1064
0.4265,-2.7475
0.4270,-0.9822
0.4275,-0.2138
0.4280,-1.5200
0.4285,-0.8863
0.4290,-0.6667
0.4295,-1.7429
0.4300,-0.3372
0.4305,-0.6250
0.4310,0.2769
0.4315,-0.3907
0.4320,0.5050
0.4325,-1.0107
0.4330,0.6344
0.4335,-0.0619
0.4340,-0.2492
0.4345,1.3818
0.4350,-0.5025
0.4355,0.4138
0.4360,-0.3768
0.4365,-0.0118
0.4370,1.8361
0.4375,1.1878
0.4380,0.5774
0.4385,1.2215
0.4390,2.8139
0.4395,1.5752
0.4400,1.7341
0.4405,1.4196
0.4410,-1.7162
0.4415,0.1440
0.4420,0.9699
0.4425,0.9201
0.4430,0.1865
0.4435,-0.4784
0.4440,-1.5000
0.4445,0.5069
0.4450,-0.1546
0.4455,-0.0609
0.4460,1.4492
0.4465,0.0396
0.4470,-0.7874
0.4475,-0.9850
0.4480,1.0736
0.4485,0.3930
0.4490,0.6434
0.4495,0.0173
0.4500,0.9140
0.4505,-0.2277
0.4510,-0.0458
0.4515,0.3284
0.4520,-1.7028
0.4525,-0.4458
0.4530,-1.5684
0.4535,1.0961
0.4540,-1.0688
0.4545,0.2355
0.4550,-0.5673
0.4555,-1.3965
0.4560,-0.7930
0.4565,-0.4741
0.4570,-1.5186
0.4575,0.1483
0.4580,0.2497
0.4585,-0.1811
0.4590,-1.3352
0.4595,-0.0301
0.4600,-0.1117
0.4605,0.6983
0.4610,-0.6441
0.4615,-2.2536
0.4620,-1.7763
0.4625,-1.6562
0.4630,-0.2301
0.4635,-1.7638
0.4640,-1.3066
0.4645,-0.1651
0.4650,-0.2532
0.4655,-0.7747
0.4660,-0.0309
0.4665,-0.1466
0.4670,2.5474
0.4675,0.8034
0.4680,1.5339
0.4685,-0.2360
0.4690,1.1787
0.4695,3.1944
0.4700,0.6688
0.4705,2.8845
0.4710,1.1297
0.4715,-0.3212
0.4720,-0.0001
0.4725,0.8596
0.4730,1.5775
0.4735,1.7273
0.4740,1.0644
0.4745,2.2701
0.4750,2.1651
0.4755,2.1262
0.4760,1.0949
0.4765,0.3728
0.4770,0.0110
0.4775,2.0104
0.4780,1.9188
0.4785,0.3340
0.4790,0.3759
0.4795,0.2226
0.4800,-1.1072
0.4805,-0.4021
0.4810,-0.6502
0.4815,-1.2599
0.4820,-1.0744
0.4825,1.0219
0.4830,-0.0938
0.4835,0.1644
0.4840,1.7475
0.4845,-0.3519
0.4850,-1.1453
0.4855,-0.2174
0.4860,-1.8930
0.4865,0.0025
0.4870,0.1720
0.4875,1.5107
0.4880,-1.2787
0.4885,0.2719
0.4890,-1.4770
0.4895,-1.7004
0.4900,-1.3059
0.4905,-1.7281
0.4910,-0.8651
0.4915,0.0894
0.4920,-2.3280
0.4925,-1.0912
0.4930,-1.5081
0.4935,-0.2139
0.4940,-2.6253
0.4945,-2.2053
0.4950,-0.6931
0.4955,-2.6434
0.4960,1.8869
0.4965,-2.4286
0.4970,-0.4534
0.4975,-0.3384
0.4980,-0.5690
0.4985,1.3777
0.4990,0.4022
0.4995,-1.2997
0.5000,-0.4203
0.5005,0.2232
0.5010,-0.4528
0.5015,-0.3024
0.5020,0.6823
0.5025,0.9839
0.5030,1.6995
0.5035,-1.0182
0.5040,2.0119
0.5045,-0.1862
0.5050,1.6616
0.5055,0.2961
0.5060,2.0120
0.5065,0.2328
0.5070,1.9279
0.5075,-0.3583
0.5080,0.7818
0.5085,1.2437
0.5090,1.5991
0.5095,-0.8488
0.5100,0.4674
0.5105,2.2862
0.5110,1.0423
0.5115,-1.2066
0.5120,0.6055
0.5125,1.0014
0.5130,-0.5788
0.5135,1.0978
0.5140,-0.5809
0.5145,0.6919
0.5150,0.1455
0.5155,-0.0247
0.5160,0.9697
0.5165,0.3077
0.5170,-1.2346
0.5175,0.3565
0.5180,-1.0179
0.5185,0.9160
0.5190,1.2394
0.5195,-0.8619
0.5200,0.2624
0.5205,-0.8219
0.5210,-1.5225
0.5215,-0.9096
0.5220,-1.8903
0.5225,-0.6570
0.5230,-0.1250
0.5235,-0.6027
0.5240,0.1322
0.5245,-0.7020
0.5250,-1.6204
0.5255,-0.6260
0.5260,-0.8109
0.5265,-2.6776
0.5270,-1.9093
0.5275,-1.4403
0.5280,-2.2873
0.5285,-0.3377
0.5290,-1.5138
0.5295,-0.2211
0.5300,-1.7988
0.5305,-1.2292
0.5310,0.4742
0.5315,1.6032
0.5320,0.3348
0.5325,1.9532
0.5330,-0.0358
0.5335,-1.2146
0.5340,-1.1465
0.5345,0.7197
0.5350,0.3361
0.5355,0.3692
0.5360,1.2918
0.5365,0.6125
0.5370,-0.5047
0.5375,1.6807
0.5380,0.0869
0.5385,0.1401
0.5390,0.8462
0.5395,0.3519
0.5400,2.2989
0.5405,2.0147
0.5410,0.1891
0.5415,0.0971
0.5420,2.4172
0.5425,-0.6356
0.5430,1.0376
0.5435,2.3535
0.5440,0.6969
0.5445,0.7668
0.5450,1.0965
0.5455,-0.0605
0.5460,1.8435
0.5465,0.3109
0.5470,-0.2143
0.5475,-0.6662
0.5480,0.4222
0.5485,2.4747
0.5490,-0.6788
0.5495,-0.5755
0.5500,0.4760
0.5505,1.1137
0.5510,0.7217
0.5515,0.0730
0.5520,-0.9120
0.5525,0.7130
0.5530,0.1398
0.5535,-1.0421
0.5540,1.7943
0.5545,-1.1052
0.5550,-2.2668
0.5555,-3.1651
0.5560,-1.2626
0.5565,-1.0497
0.5570,-2.5250
0.5575,0.4907
0.5580,-2.9468
0.5585,-0.9026
0.5590,-1.8152
0.5595,-1.1270
0.5600,-0.4199
0.5605,-1.2517
0.5610,-1.6466
0.5615,-0.2504
0.5620,-1.6427
0.5625,-0.7015
0.5630,-1.7155
0.5635,-0.6736
0.5640,-2.6780
0.5645,-2.0896
0.5650,-1.1462
0.5655,-0.9377
0.5660,1.6667
0.5665,-0.8251
0.5670,-1.0775
0.5675,1.0152
0.5680,1.7144
0.5685,0.9263
0.5690,1.4446
0.5695,2.8854
0.5700,-0.7890
0.5705,1.0159
0.5710,1.1126
0.5715,1.0189
0.5720,0.2250
0.5725,1.7130
0.5730,1.1776
0.5735,1.5034
0.5740,0.2633
0.5745,1.2851
0.5750,-0.2835
0.5755,0.5904
0.5760,0.3494
0.5765,-0.2538
0.5770,-0.2712
0.5775,-0.1808
0.5780,0.3942
0.5785,0.4664
0.5790,0.3416
0.5795,0.3150
0.5800,-0.2020
0.5805,0.9256
0.5810,0.6278
0.5815,0.2855
0.5820,0.6813
0.5825,-0.8503
0.5830,1.6802
0.5835,-1.0086
0.5840,1.3602
0.5845,-0.2099
0.5850,0.6258
0.5855,-1.4391
0.5860,0.1852
0.5865,0.8501
0.5870,-0.8861
0.5875,-2.9612
0.5880,-0.8868
0.5885,-0.4632
0.5890,-0.4439
0.5895,-0.1153
0.5900,0.4910
0.5905,-0.9342
0.5910,-2.7311
0.5915,-0.3521
0.5920,-1.9786
0.5925,-1.2249
0.5930,-2.0288
0.5935,-1.1014
0.5940,0.7080
0.5945,-2.6280
0.5950,-0.5828
0.5955,-2.0363
0.5960,0.1947
0.5965,-1.0104
0.5970,-0.4898
0.5975,-1.3801
0.5980,0.3347
0.5985,0.2717
0.5990,0.1424
0.5995,-1.1784
0.6000,0.3258
0.6005,0.8974
0.6010,-0.0914
0.6015,-0.2252
0.6020,1.3717
0.6025,0.3101
0.6030,-0.1398
0.6035,2.0952
0.6040,0.1946
0.6045,1.1907
0.6050,1.0712
0.6055,0.4320
0.6060,1.7314
0.6065,0.1821
0.6070,1.6566
0.6075,1.6647
0.6080,0.6919
0.6085,1.1612
0.6090,1.8007
0.6095,2.7472
0.6100,0.1713
0.6105,0.6926
0.6110,0.1357
0.6115,0.1585
0.6120,-0.2096
0.6125,0.1960
0.6130,-0.1223
0.6135,1.8137
0.6140,0.1255
0.6145,-0.7334
0.6150,-1.1138
0.6155,1.2489
0.6160,1.6012
0.6165,-0.9261
0.6170,-0.1495
0.6175,1.1224
0.6180,0.0444
0.6185,0.8289
0.6190,1.1753
0.6195,1.0064
0.6200,0.5091
0.6205,-1.0292
0.6210,-1.3483
0.6215,-0.4449
0.6220,-0.9941
0.6225,-1.1432
0.6230,-0.9731
0.6235,-0.3633
0.6240,-0.4980
0.6245,-0.9703
0.6250,-1.3815
0.6255,-0.3637
0.6260,-0.4550
0.6265,-1.9079
0.6270,-0.8635
0.6275,0.1140
0.6280,-0.7263
0.6285,-1.2840
0.6290,-0.4993
0.6295,-0.6274
0.6300,-1.9239
0.6305,-1.2340
0.6310,-0.3134
0.6315,-0.3327
0.6320,-1.3035
0.6325,-1.0475
0.6330,0.5027
0.6335,1.0238
0.6340,2.3330
0.6345,-0.9433
0.6350,0.9454
0.6355,0.2324
0.6360,1.2721
0.6365,0.3822
0.6370,0.4283
0.6375,2.6534
0.6380,2.7758
0.6385,-0.2692
0.6390,2.2663
0.6395,2.0143
0.6400,0.8009
0.6405,0.6796
0.6410,0.7107
0.6415,0.5132
0.6420,0.5192
0.6425,1.4442
0.6430,0.3033
0.6435,0.3221
0.6440,0.8859
0.6445,2.0630
0.6450,1.9950
0.6455,1.4169
0.6460,-0.3421
0.6465,0.3867
0.6470,0.6775
0.6475,-0.3251
0.6480,-0.8948
0.6485,-1.1038
0.6490,-0.0945
0.6495,-2.6425
0.6500,0.1691
0.6505,2.1903
0.6510,-0.1213
0.6515,-0.8118
0.6520,0.5520
0.6525,-0.0276
0.6530,-0.0297
0.6535,-0.6762
0.6540,-0.0468
0.6545,-1.0478
0.6550,-0.8342
0.6555,-1.5389
0.6560,-1.1553
0.6565,-0.5825
0.6570,-1.9307
0.6575,-1.4534
0.6580,-1.7716
0.6585,-2.7416
0.6590,-1.2963
0.6595,-2.2455
0.6600,-1.0903
0.6605,-1.5978
0.6610,0.6863
0.6615,-1.5186
0.6620,-0.2630
0.6625,-0.9469
0.6630,-0.5986
0.6635,0.4615
0.6640,-1.1771
